,date,l_ipn,r_asn,f,category
317,2006-07-02,4,4323,1,0
323,2006-07-02,5,209,1,0
324,2006-07-02,5,766,1,0
325,2006-07-02,5,2152,2,0
326,2006-07-02,5,3269,5,0
327,2006-07-02,5,3356,1,0
328,2006-07-02,5,3593,1,0
329,2006-07-02,5,4134,10,1
330,2006-07-02,5,4808,7,0
331,2006-07-02,5,4837,2,0
341,2006-07-02,6,766,1,0
342,2006-07-02,6,3269,5,0
343,2006-07-02,6,3354,2,0
344,2006-07-02,6,4134,5,0
345,2006-07-02,6,4808,8,1
346,2006-07-02,6,4812,1,0
347,2006-07-02,6,4837,2,0
350,2006-07-02,7,109,7,0
351,2006-07-02,7,2152,6,0
352,2006-07-02,7,3561,1,0
357,2006-07-02,8,109,7,0
358,2006-07-02,8,3356,1,0
359,2006-07-02,8,3701,4,0
365,2006-07-03,0,52,1,0
366,2006-07-03,0,209,1,0
367,2006-07-03,0,701,7,0
368,2006-07-03,0,2856,1,0
369,2006-07-03,0,3269,9,1
370,2006-07-03,0,3462,1,0
371,2006-07-03,0,3561,28,1
372,2006-07-03,0,3790,1,0
373,2006-07-03,0,4134,1,0
374,2006-07-03,0,4323,1,0
375,2006-07-03,0,4513,101,1
376,2006-07-03,0,4766,3,0
377,2006-07-03,0,4837,1,0
403,2006-07-03,1,3,5,0
404,2006-07-03,1,209,1,0
405,2006-07-03,1,680,2,0
406,2006-07-03,1,2711,1,0
407,2006-07-03,1,3265,1564,1
408,2006-07-03,1,3269,30,1
409,2006-07-03,1,3320,1074,1
410,2006-07-03,1,3462,1,0
411,2006-07-03,1,3561,1,0
412,2006-07-03,1,4134,7,0
413,2006-07-03,1,4230,1,0
414,2006-07-03,1,4513,101,1
415,2006-07-03,1,4766,3,0
451,2006-07-03,2,1312,103,1
452,2006-07-03,2,2637,1,0
453,2006-07-03,2,3269,3,0
454,2006-07-03,2,3561,4,0
455,2006-07-03,2,3701,1,0
456,2006-07-03,2,4323,8,1
457,2006-07-03,2,4513,101,1
458,2006-07-03,2,4766,1,0
473,2006-07-03,3,680,2,0
474,2006-07-03,3,3269,6,0
475,2006-07-03,3,4134,6,0
476,2006-07-03,3,4230,1,0
477,2006-07-03,3,4513,1,0
478,2006-07-03,3,4766,2,0
479,2006-07-03,3,4808,1,0
486,2006-07-03,4,3269,6,0
487,2006-07-03,4,4513,101,1
488,2006-07-03,4,4766,1,0
496,2006-07-03,5,680,2,0
497,2006-07-03,5,2152,2,0
498,2006-07-03,5,3269,6,0
499,2006-07-03,5,3561,4,0
500,2006-07-03,5,4134,3,0
501,2006-07-03,5,4230,2,0
502,2006-07-03,5,4513,2,0
503,2006-07-03,5,4766,1,0
504,2006-07-03,5,4808,3,0
524,2006-07-03,6,680,2,0
525,2006-07-03,6,3269,6,0
526,2006-07-03,6,4134,9,1
527,2006-07-03,6,4230,1,0
528,2006-07-03,6,4513,2,0
529,2006-07-03,6,4766,1,0
530,2006-07-03,6,4808,1,0
531,2006-07-03,6,4837,1,0
540,2006-07-03,7,3,2,0
541,2006-07-03,7,109,7,0
542,2006-07-03,7,1103,3,0
543,2006-07-03,7,1239,7,0
544,2006-07-03,7,1784,2,0
545,2006-07-03,7,2152,33,1
546,2006-07-03,7,2637,1,0
547,2006-07-03,7,2914,36,1
548,2006-07-03,7,3320,2,0
549,2006-07-03,7,3356,1,0
550,2006-07-03,7,3561,5,0
551,2006-07-03,7,3701,3,0
552,2006-07-03,7,4264,2,0
582,2006-07-03,8,25,3,0
583,2006-07-03,8,109,7,0
584,2006-07-03,8,786,1,0
585,2006-07-03,8,2386,36,1
586,2006-07-03,8,2553,41,1
587,2006-07-03,8,2843,4,0
588,2006-07-03,8,3561,10,1
589,2006-07-03,8,3701,4,0
590,2006-07-03,8,3999,1,0
591,2006-07-03,8,4267,2,0
592,2006-07-03,8,4323,17,1
611,2006-07-03,9,102,8,1
612,2006-07-03,9,209,7,0
613,2006-07-03,9,797,143,1
614,2006-07-03,9,1239,3,0
615,2006-07-03,9,2013,19,1
616,2006-07-03,9,2152,14,1
617,2006-07-03,9,3356,2,0
618,2006-07-03,9,3561,7,0
619,2006-07-03,9,3707,81,1
620,2006-07-03,9,4355,4,0
651,2006-07-04,0,701,4,0
652,2006-07-04,0,2152,1,0
653,2006-07-04,0,3064,1,0
654,2006-07-04,0,3269,7,0
655,2006-07-04,0,3462,1,0
656,2006-07-04,0,3561,34,1
657,2006-07-04,0,4538,1,0
658,2006-07-04,0,4766,2714,1
659,2006-07-04,0,4808,1,0
660,2006-07-04,0,4812,1,0
661,2006-07-04,0,4837,1,0
689,2006-07-04,1,852,2,0
690,2006-07-04,1,1103,2,0
691,2006-07-04,1,2418,2,0
692,2006-07-04,1,2516,3,0
693,2006-07-04,1,2828,2,0
694,2006-07-04,1,3242,1,0
695,2006-07-04,1,3265,1493,1
696,2006-07-04,1,3269,20,1
697,2006-07-04,1,3354,2,0
698,2006-07-04,1,3356,1,0
699,2006-07-04,1,3462,1,0
700,2006-07-04,1,3561,6,0
701,2006-07-04,1,3741,2,0
702,2006-07-04,1,4134,8,1
703,2006-07-04,1,4266,2,0
704,2006-07-04,1,4323,1,0
705,2006-07-04,1,4589,2,0
706,2006-07-04,1,4766,15,1
707,2006-07-04,1,4812,4,0
708,2006-07-04,1,4837,3,0
732,2006-07-04,2,81,29,1
733,2006-07-04,2,1312,85,1
734,2006-07-04,2,2914,1,0
735,2006-07-04,2,3269,4,0
736,2006-07-04,2,3462,1,0
737,2006-07-04,2,3561,11,1
738,2006-07-04,2,4812,1,0
750,2006-07-04,3,852,1,0
751,2006-07-04,3,2418,1,0
752,2006-07-04,3,3269,26,1
753,2006-07-04,3,3354,2,0
754,2006-07-04,3,4134,1,0
755,2006-07-04,3,4589,2,0
756,2006-07-04,3,4812,4,0
762,2006-07-04,4,3269,4,0
763,2006-07-04,4,4323,1,0
764,2006-07-04,4,4812,1,0
773,2006-07-04,5,852,2,0
774,2006-07-04,5,2152,2,0
775,2006-07-04,5,2418,2,0
776,2006-07-04,5,3269,22,1
777,2006-07-04,5,3354,2,0
778,2006-07-04,5,3356,1,0
779,2006-07-04,5,3561,2,0
780,2006-07-04,5,4134,4,0
781,2006-07-04,5,4589,4,0
782,2006-07-04,5,4812,1,0
792,2006-07-04,6,4,1,0
793,2006-07-04,6,852,2,0
794,2006-07-04,6,2418,1,0
795,2006-07-04,6,3269,38,1
796,2006-07-04,6,3354,2,0
797,2006-07-04,6,4134,2,0
798,2006-07-04,6,4589,2,0
799,2006-07-04,6,4812,1,0
809,2006-07-04,7,109,8,1
810,2006-07-04,7,209,3,0
811,2006-07-04,7,852,2,0
812,2006-07-04,7,2152,34,1
813,2006-07-04,7,3356,1,0
814,2006-07-04,7,3561,2,0
815,2006-07-04,7,4264,1,0
833,2006-07-04,8,3,4,0
834,2006-07-04,8,38,8,1
835,2006-07-04,8,109,8,1
836,2006-07-04,8,209,1,0
837,2006-07-04,8,271,8,1
838,2006-07-04,8,559,11,1
839,2006-07-04,8,701,3,0
840,2006-07-04,8,786,3,0
841,2006-07-04,8,852,1,0
842,2006-07-04,8,1668,11,1
843,2006-07-04,8,2152,10,1
844,2006-07-04,8,3268,12,1
845,2006-07-04,8,3462,5,0
846,2006-07-04,8,3561,2,0
847,2006-07-04,8,3701,4,0
848,2006-07-04,8,4265,3,0
849,2006-07-04,8,4266,1,0
850,2006-07-04,8,4378,38,1
880,2006-07-05,0,553,4,0
881,2006-07-05,0,701,12,1
882,2006-07-05,0,1967,1,0
883,2006-07-05,0,2514,1,0
884,2006-07-05,0,3269,2,0
885,2006-07-05,0,3320,1,0
886,2006-07-05,0,3356,1,0
887,2006-07-05,0,3561,68,1
888,2006-07-05,0,3786,1,0
889,2006-07-05,0,4134,1,0
890,2006-07-05,0,4230,2,0
891,2006-07-05,0,4323,2,0
892,2006-07-05,0,4538,4,0
893,2006-07-05,0,4544,1,0
894,2006-07-05,0,4788,1,0
895,2006-07-05,0,4837,4,0
922,2006-07-05,1,55,2,0
923,2006-07-05,1,286,3,0
924,2006-07-05,1,553,1,0
925,2006-07-05,1,680,1,0
926,2006-07-05,1,2852,2,0
927,2006-07-05,1,3265,1469,1
928,2006-07-05,1,3561,13,1
929,2006-07-05,1,4134,2,0
930,2006-07-05,1,4266,4,0
931,2006-07-05,1,4323,1,0
932,2006-07-05,1,4538,1,0
933,2006-07-05,1,4766,4405,1
934,2006-07-05,1,4808,2,0
935,2006-07-05,1,4837,13,1
961,2006-07-05,2,16,1,0
962,2006-07-05,2,47,1,0
963,2006-07-05,2,81,1,0
964,2006-07-05,2,209,38,1
965,2006-07-05,2,1312,84,1
966,2006-07-05,2,3561,6,0
967,2006-07-05,2,4323,4,0
968,2006-07-05,2,4766,2725,1
969,2006-07-05,2,4837,1,0
983,2006-07-05,3,286,1,0
984,2006-07-05,3,553,2,0
985,2006-07-05,3,4134,1,0
986,2006-07-05,3,4538,60,1
987,2006-07-05,3,4766,2,0
988,2006-07-05,3,4837,16,1
993,2006-07-05,4,553,1,0
994,2006-07-05,4,4323,1,0
995,2006-07-05,4,4760,73,1
996,2006-07-05,4,4766,4408,1
997,2006-07-05,4,4837,3,0
1006,2006-07-05,5,4,1,0
1007,2006-07-05,5,286,6,0
1008,2006-07-05,5,553,6,0
1009,2006-07-05,5,2152,2,0
1010,2006-07-05,5,3356,1,0
1011,2006-07-05,5,3561,1,0
1012,2006-07-05,5,4538,77,1
1013,2006-07-05,5,4766,2,0
1014,2006-07-05,5,4837,15,1
1021,2006-07-05,6,286,2,0
1022,2006-07-05,6,553,2,0
1023,2006-07-05,6,4134,2,0
1024,2006-07-05,6,4538,78,1
1025,2006-07-05,6,4766,2,0
1026,2006-07-05,6,4808,1,0
1027,2006-07-05,6,4837,17,1
1033,2006-07-05,7,3,1,0
1034,2006-07-05,7,109,5,0
1035,2006-07-05,7,286,2,0
1036,2006-07-05,7,1239,10,1
1037,2006-07-05,7,2152,5,0
1038,2006-07-05,7,3356,1,0
1039,2006-07-05,7,3701,3,0
1053,2006-07-05,8,3,5,0
1054,2006-07-05,8,14,5,0
1055,2006-07-05,8,71,1,0
1056,2006-07-05,8,109,5,0
1057,2006-07-05,8,137,3,0
1058,2006-07-05,8,209,6,0
1059,2006-07-05,8,225,6,0
1060,2006-07-05,8,577,10,1
1061,2006-07-05,8,701,2,0
1062,2006-07-05,8,1668,6,0
1063,2006-07-05,8,1712,28,1
1064,2006-07-05,8,1715,3,0
1065,2006-07-05,8,2152,6,0
1066,2006-07-05,8,2200,7,0
1067,2006-07-05,8,2514,3,0
1068,2006-07-05,8,2611,2,0
1069,2006-07-05,8,2846,3,0
1070,2006-07-05,8,3356,3,0
1071,2006-07-05,8,3561,2,0
1072,2006-07-05,8,3598,3,0
1073,2006-07-05,8,3701,4,0
1074,2006-07-05,8,4682,1,0
1075,2006-07-05,8,4725,28,1
1076,2006-07-05,8,4766,4409,1
1098,2006-07-05,9,102,97,1
1099,2006-07-05,9,174,4,0
1100,2006-07-05,9,209,19,1
1101,2006-07-05,9,237,2,0
1102,2006-07-05,9,559,15,1
1103,2006-07-05,9,1668,286,1
1104,2006-07-05,9,2013,63,1
1105,2006-07-05,9,2152,194,1
1106,2006-07-05,9,2714,8,1
1107,2006-07-05,9,2828,1,0
1108,2006-07-05,9,2914,44,1
1109,2006-07-05,9,3356,8,1
1110,2006-07-05,9,3561,40,1
1111,2006-07-05,9,3701,2,0
1112,2006-07-05,9,4182,42,1
1113,2006-07-05,9,4323,19,1
1114,2006-07-05,9,4436,3,0
1162,2006-07-06,0,209,1,0
1163,2006-07-06,0,701,6,0
1164,2006-07-06,0,1239,1,0
1165,2006-07-06,0,2152,1,0
1166,2006-07-06,0,2514,1,0
1167,2006-07-06,0,2856,1,0
1168,2006-07-06,0,3356,2,0
1169,2006-07-06,0,3462,1,0
1170,2006-07-06,0,3495,1,0
1171,2006-07-06,0,3561,40,1
1172,2006-07-06,0,3671,24,1
1173,2006-07-06,0,4765,1,0
1174,2006-07-06,0,4766,1,0
1212,2006-07-06,1,721,2,0
1213,2006-07-06,1,2200,2,0
1214,2006-07-06,1,3265,1342,1
1215,2006-07-06,1,3549,2,0
1216,2006-07-06,1,3561,10,1
1217,2006-07-06,1,4134,1,0
1218,2006-07-06,1,4766,4,0
1219,2006-07-06,1,4788,2,0
1220,2006-07-06,1,4837,3,0
1251,2006-07-06,2,209,26,1
1252,2006-07-06,2,1312,83,1
1253,2006-07-06,2,2552,1,0
1254,2006-07-06,2,3561,18,1
1255,2006-07-06,2,4323,4,0
1256,2006-07-06,2,4766,1,0
1272,2006-07-06,3,4134,1,0
1273,2006-07-06,3,4766,1,0
1283,2006-07-06,4,4766,1,0
1294,2006-07-06,5,2152,2,0
1295,2006-07-06,5,3561,2,0
1296,2006-07-06,5,4134,1,0
1297,2006-07-06,5,4766,1,0
1307,2006-07-06,6,4134,1,0
1308,2006-07-06,6,4713,1,0
1309,2006-07-06,6,4766,1,0
1310,2006-07-06,6,4837,1,0
1319,2006-07-06,7,3,2,0
1320,2006-07-06,7,209,3,0
1321,2006-07-06,7,1239,14,1
1322,2006-07-06,7,2152,29,1
1323,2006-07-06,7,2914,2,0
1324,2006-07-06,7,3561,13,1
1325,2006-07-06,7,3701,3,0
1353,2006-07-06,8,209,3,0
1354,2006-07-06,8,553,7,0
1355,2006-07-06,8,559,3,0
1356,2006-07-06,8,701,20,1
1357,2006-07-06,8,1668,8,1
1358,2006-07-06,8,3356,2,0
1359,2006-07-06,8,3561,6,0
1360,2006-07-06,8,3701,4,0
1376,2006-07-06,9,18,4,0
1377,2006-07-06,9,102,145,1
1378,2006-07-06,9,209,14,1
1379,2006-07-06,9,1213,4,0
1380,2006-07-06,9,2152,130,1
1381,2006-07-06,9,2637,1,0
1382,2006-07-06,9,2701,2,0
1383,2006-07-06,9,3356,9,1
1384,2006-07-06,9,3561,10,1
1417,2006-07-07,0,205,1,0
1418,2006-07-07,0,209,1,0
1419,2006-07-07,0,1221,1,0
1420,2006-07-07,0,2518,1,0
1421,2006-07-07,0,2914,1,0
1422,2006-07-07,0,3257,1,0
1423,2006-07-07,0,3269,1,0
1424,2006-07-07,0,3356,1,0
1425,2006-07-07,0,3549,1,0
1426,2006-07-07,0,3561,35,1
1427,2006-07-07,0,3671,75,1
1428,2006-07-07,0,4134,15,1
1429,2006-07-07,0,4323,1,0
1430,2006-07-07,0,4755,1,0
1466,2006-07-07,1,158,1,0
1467,2006-07-07,1,1257,4,0
1468,2006-07-07,1,2852,2,0
1469,2006-07-07,1,3265,1402,1
1470,2006-07-07,1,3491,2,0
1471,2006-07-07,1,3561,19,1
1472,2006-07-07,1,4134,129,1
1473,2006-07-07,1,4323,1,0
1474,2006-07-07,1,4766,2,0
1475,2006-07-07,1,4812,2,0
1476,2006-07-07,1,4814,1,0
1477,2006-07-07,1,4837,3,0
1494,2006-07-07,2,47,1,0
1495,2006-07-07,2,209,32,1
1496,2006-07-07,2,1239,10,1
1497,2006-07-07,2,1312,83,1
1498,2006-07-07,2,2152,4,0
1499,2006-07-07,2,3561,5,0
1500,2006-07-07,2,4134,1,0
1501,2006-07-07,2,4181,1,0
1502,2006-07-07,2,4323,8,1
1522,2006-07-07,3,1257,1,0
1523,2006-07-07,3,3301,1,0
1524,2006-07-07,3,4134,44,1
1528,2006-07-07,4,4134,2,0
1529,2006-07-07,4,4323,1,0
1534,2006-07-07,5,205,1,0
1535,2006-07-07,5,1257,1,0
1536,2006-07-07,5,2152,2,0
1537,2006-07-07,5,3561,3,0
1538,2006-07-07,5,4134,29,1
1545,2006-07-07,6,1257,2,0
1546,2006-07-07,6,4134,13,1
1547,2006-07-07,6,4812,4,0
1548,2006-07-07,6,4837,2,0
1554,2006-07-07,7,3,1,0
1555,2006-07-07,7,209,2,0
1556,2006-07-07,7,1239,7,0
1557,2006-07-07,7,1257,1,0
1558,2006-07-07,7,2152,28,1
1559,2006-07-07,7,3561,4,0
1560,2006-07-07,7,3701,3,0
1582,2006-07-07,8,786,3,0
1583,2006-07-07,8,1257,1,0
1584,2006-07-07,8,2900,849,1
1585,2006-07-07,8,2914,6,0
1586,2006-07-07,8,3561,1,0
1587,2006-07-07,8,3701,4,0
1588,2006-07-07,8,4323,18,1
1595,2006-07-07,9,102,248,1
1596,2006-07-07,9,209,22,1
1597,2006-07-07,9,1668,25,1
1598,2006-07-07,9,2152,501,1
1599,2006-07-07,9,2914,4,0
1600,2006-07-07,9,3561,6,0
1601,2006-07-07,9,4182,23,1
1624,2006-07-08,0,209,1,0
1625,2006-07-08,0,701,1,0
1626,2006-07-08,0,2379,1,0
1627,2006-07-08,0,2711,1,0
1628,2006-07-08,0,3352,1,0
1629,2006-07-08,0,3495,1,0
1630,2006-07-08,0,3561,5,0
1631,2006-07-08,0,3671,15,1
1632,2006-07-08,0,4609,1,0
1633,2006-07-08,0,4766,2,0
1634,2006-07-08,0,4837,6,0
1660,2006-07-08,1,3265,1353,1
1661,2006-07-08,1,3561,12,1
1662,2006-07-08,1,3786,10,1
1663,2006-07-08,1,4134,8,1
1664,2006-07-08,1,4766,1,0
1665,2006-07-08,1,4812,4,0
1666,2006-07-08,1,4837,13,1
1687,2006-07-08,2,4,1,0
1688,2006-07-08,2,16,9,1
1689,2006-07-08,2,209,2,0
1690,2006-07-08,2,1312,84,1
1691,2006-07-08,2,3561,3,0
1692,2006-07-08,2,4323,12,1
1707,2006-07-08,3,2152,1,0
1708,2006-07-08,3,3786,2,0
1709,2006-07-08,3,4134,6,0
1710,2006-07-08,3,4812,2,0
1711,2006-07-08,3,4837,14,1
1720,2006-07-08,4,3786,3,0
1721,2006-07-08,4,4837,1,0
1732,2006-07-08,5,209,2,0
1733,2006-07-08,5,2152,3,0
1734,2006-07-08,5,3356,2,0
1735,2006-07-08,5,3561,1,0
1736,2006-07-08,5,3786,1,0
1737,2006-07-08,5,4134,5,0
1738,2006-07-08,5,4837,18,1
1747,2006-07-08,6,3786,2,0
1748,2006-07-08,6,4134,6,0
1749,2006-07-08,6,4812,1,0
1750,2006-07-08,6,4837,25,1
1756,2006-07-08,7,209,11,1
1757,2006-07-08,7,2152,141,1
1758,2006-07-08,7,3356,2,0
1759,2006-07-08,7,3561,61,1
1760,2006-07-08,7,3701,3,0
1761,2006-07-08,7,4134,1,0
1795,2006-07-08,8,14,4,0
1796,2006-07-08,8,29,5,0
1797,2006-07-08,8,680,7,0
1798,2006-07-08,8,1668,4,0
1799,2006-07-08,8,2152,2,0
1800,2006-07-08,8,3561,2,0
1801,2006-07-08,8,3701,4,0
1802,2006-07-08,8,4513,1,0
1823,2006-07-08,9,297,2,0
1824,2006-07-08,9,1668,11,1
1825,2006-07-08,9,2152,327,1
1826,2006-07-08,9,3356,2,0
1827,2006-07-08,9,3561,2,0
1828,2006-07-08,9,4182,18,1
1843,2006-07-09,0,209,1,0
1844,2006-07-09,0,701,4,0
1845,2006-07-09,0,3269,4,0
1846,2006-07-09,0,3320,1,0
1847,2006-07-09,0,3462,1,0
1848,2006-07-09,0,3561,4,0
1849,2006-07-09,0,3671,7,0
1850,2006-07-09,0,4766,2,0
1851,2006-07-09,0,4812,2,0
1852,2006-07-09,0,4837,1,0
1874,2006-07-09,1,701,1,0
1875,2006-07-09,1,3265,1385,1
1876,2006-07-09,1,3462,1,0
1877,2006-07-09,1,3561,13,1
1878,2006-07-09,1,3786,12,1
1879,2006-07-09,1,4134,2,0
1880,2006-07-09,1,4766,4,0
1881,2006-07-09,1,4812,3,0
1882,2006-07-09,1,4837,4,0
1905,2006-07-09,2,81,1,0
1906,2006-07-09,2,1312,205,1
1907,2006-07-09,2,3561,14,1
1922,2006-07-09,3,3462,2,0
1923,2006-07-09,3,4766,2,0
1924,2006-07-09,3,4812,1,0
1925,2006-07-09,3,4837,1,0
1941,2006-07-09,5,2152,2,0
1942,2006-07-09,5,3356,2,0
1943,2006-07-09,5,3561,1,0
1944,2006-07-09,5,4134,1,0
1945,2006-07-09,5,4323,2,0
1946,2006-07-09,5,4766,2,0
1947,2006-07-09,5,4837,3,0
1958,2006-07-09,6,3462,2,0
1959,2006-07-09,6,4134,4,0
1960,2006-07-09,6,4323,2,0
1961,2006-07-09,6,4766,2,0
1962,2006-07-09,6,4812,3,0
1963,2006-07-09,6,4837,2,0
1969,2006-07-09,7,2152,1,0
1970,2006-07-09,7,3561,1,0
1982,2006-07-09,9,3356,2,0
1985,2006-07-10,0,209,2,0
1986,2006-07-10,0,600,1,0
1987,2006-07-10,0,701,5,0
1988,2006-07-10,0,2856,2,0
1989,2006-07-10,0,3249,1,0
1990,2006-07-10,0,3269,2,0
1991,2006-07-10,0,3561,26,1
1992,2006-07-10,0,3671,18,1
1993,2006-07-10,0,4544,1,0
1994,2006-07-10,0,4747,1,0
1995,2006-07-10,0,4755,1,0
1996,2006-07-10,0,4808,2,0
2034,2006-07-10,1,4,1,0
2035,2006-07-10,1,209,1,0
2036,2006-07-10,1,680,1,0
2037,2006-07-10,1,3265,1407,1
2038,2006-07-10,1,3320,4,0
2039,2006-07-10,1,3356,1,0
2040,2006-07-10,1,3561,18,1
2041,2006-07-10,1,3786,12,1
2042,2006-07-10,1,4134,12,1
2043,2006-07-10,1,4323,1,0
2044,2006-07-10,1,4808,5,0
2045,2006-07-10,1,4837,1,0
2068,2006-07-10,2,209,1,0
2069,2006-07-10,2,1312,134,1
2070,2006-07-10,2,2637,1,0
2071,2006-07-10,2,3561,7,0
2072,2006-07-10,2,4323,4,0
2073,2006-07-10,2,4713,4,0
2093,2006-07-10,3,4134,7,0
2094,2006-07-10,3,4713,2,0
2095,2006-07-10,3,4808,6,0
2096,2006-07-10,3,4812,3,0
2104,2006-07-10,4,4323,1,0
2105,2006-07-10,4,4808,1,0
2115,2006-07-10,5,2152,2,0
2116,2006-07-10,5,3561,1,0
2117,2006-07-10,5,4134,6,0
2118,2006-07-10,5,4808,6,0
2119,2006-07-10,5,4812,2,0
2133,2006-07-10,6,4134,7,0
2134,2006-07-10,6,4713,2,0
2135,2006-07-10,6,4808,11,1
2136,2006-07-10,6,4837,1,0
2148,2006-07-10,7,271,12,1
2149,2006-07-10,7,1239,2,0
2150,2006-07-10,7,3356,2,0
2151,2006-07-10,7,3582,5,0
2152,2006-07-10,7,3701,3,0
2161,2006-07-10,8,3356,1,0
2170,2006-07-10,9,209,2,0
2171,2006-07-10,9,553,29,1
2172,2006-07-10,9,1239,2,0
2173,2006-07-10,9,1668,8,1
2174,2006-07-10,9,2152,154,1
2175,2006-07-10,9,2637,17,1
2176,2006-07-10,9,2911,4,0
2177,2006-07-10,9,2914,4,0
2178,2006-07-10,9,3356,7,0
2179,2006-07-10,9,3549,4,0
2180,2006-07-10,9,3561,139,1
2181,2006-07-10,9,3707,43,1
2182,2006-07-10,9,4182,8,1
2183,2006-07-10,9,4265,6,0
2184,2006-07-10,9,4436,41,1
2185,2006-07-10,9,4513,1,0
2236,2006-07-11,0,209,1,0
2237,2006-07-11,0,701,1,0
2238,2006-07-11,0,2379,1,0
2239,2006-07-11,0,2706,2,0
2240,2006-07-11,0,3215,1,0
2241,2006-07-11,0,3320,3,0
2242,2006-07-11,0,3462,3,0
2243,2006-07-11,0,3561,39,1
2244,2006-07-11,0,3671,11,1
2245,2006-07-11,0,4134,3,0
2246,2006-07-11,0,4538,2,0
2247,2006-07-11,0,4544,1,0
2279,2006-07-11,1,786,6,0
2280,2006-07-11,1,812,2,0
2281,2006-07-11,1,1668,2,0
2282,2006-07-11,1,1790,1,0
2283,2006-07-11,1,2200,14,1
2284,2006-07-11,1,3089,5,0
2285,2006-07-11,1,3265,1381,1
2286,2006-07-11,1,3320,3,0
2287,2006-07-11,1,3561,35,1
2288,2006-07-11,1,3786,10,1
